H2S,CO2,N2,C1,C2,C3,C4,C5,C6,C7+,MW7+,T(F),MW5+,Vol,Int,MMP(psi)
0.001,1.31,0.49,21.76,9.13,5.01,1.3,0.25,6.54,54.21,186,105,175,22.25,16.751,1499
0.001,0.91,16.7,5.9,3.71,17.5,6.99,8.16,7.1,32.99,224,178,178,22.6,29.111,2331
0.001,1.01,9.09,4.77,5.61,4.31,6.2,3.1,2.24,63.67,291,169,275,13.86,17.131,2899
5.4,1.1,0.12,29.7,13.23,2.1,1.4,0.59,2.3,44.06,240,88,230,29.82,23.23,1215
0.001,3.1,0.53,27.67,8.16,8.1,5.9,3.6,4.62,42.13,223,103,200,28.2,25.261,1421
0.001,1.19,3.78,6.04,4.46,5.3,5.9,6.2,5,62.2,220,178,198,9.82,16.851,2330
0.001,0.69,0.15,45.06,5.37,5.4,3.9,3,9.1,27.3,241,205,192,45.21,15.361,3550
0.001,3.2,0.03,27.81,8.21,5.99,4.41,3.6,4.62,42.13,223,103,200,27.84,21.811,2000
0.001,1.41,0.39,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,180,262,6.74,20.591,3095
0.001,0.23,1.59,4.54,2.07,4.41,3.82,9.49,15.3,58.55,235,138,189,6.13,10.531,1697
0.5,0.06,1.56,27.01,11.4,8.96,6.91,4.7,2.77,36.13,232,135,206,28.57,27.83,2219
12.2,1.21,0.42,17.23,8.01,4.47,2.87,1.13,6.98,45.49,242,88,218,17.65,28.76,1523
1.2,13.31,0.01,10.34,6.79,4.57,2.99,1.16,5.45,54.17,240,101,223,10.35,28.86,1607
0.001,0.01,0.74,13.22,6.21,6.71,4.1,2.9,3.7,62.41,207,113,195,13.96,17.031,1605
0.001,0.55,0.54,15.94,7.48,5.78,3.2,1.16,6,59.35,240,88,223,16.48,17.011,1505
0.001,1.19,3.78,6.04,4.46,5.3,5.9,6.2,5,62.2,220,178,198,9.82,16.851,2330
1.2,3.4,2,8.78,9.34,5.11,5.72,5.92,7.4,51.13,245,196,211,10.78,24.77,2805
0.001,7.19,4.82,5.15,7.19,3.8,4.91,5.45,8,53.5,229,201,199,9.97,23.091,2667
0.001,1.89,3.23,7.56,6.19,4.5,5,5.8,5.33,60.5,187,180,170,10.79,17.581,2150
0.001,2.13,3.67,5.51,3.91,6.1,7.88,4.9,4.9,61,200,155,183,9.18,20.021,2001
0.001,24,4.36,3.22,3.78,6.13,7.1,4.23,16,31.18,244,83,181,7.58,41.011,1201
0.001,2.36,2.78,8.89,2.9,5.11,4.99,3.78,3.38,65.89,198,97,186,11.67,15.361,1215
1.6,2.91,3.56,4.99,6.18,4.89,4.61,2.01,5.27,64,238,102,222,8.55,20.19,1372
0.001,1.89,3.23,7.56,6.19,4.5,5,0.96,6.5,64.17,201,79,189,10.79,17.581,1123
0.001,0.37,0.98,41.79,8.87,7.1,5.3,0.45,7.45,27.69,242,201,207,42.77,21.641,2844
0.001,0.67,3.78,5.95,4.46,5.3,5.9,6.04,5.7,62.2,218,178,196,9.73,16.331,2266
22,0.245,0.338,4.07,3.11,4.9,5.7,0.91,4.3,54.47,166,103,159,4.408,35.955,1321
